Unnamed: 0,protein_id_x,transcript_id,rNC1,rNC2,rKD1,rKD2,NC1,NC2,NC3,KD1,KD2,KD3,protein_id_y,High_Pause_Countsc18nc,protein_id,High_Pause_Countsc18ko
12148,ENSMUSP00000061345,ENSMUST00000057062,18,18,24,28,583.2,571.6,573.0,562.3,539.4,445.9,ENSMUSP00000061345,40.0,ENSMUSP00000061345,32.0
12161,ENSMUSP00000061470,ENSMUST00000058154,39,40,70,59,1218.8,1268.3,1233.5,1201.8,1116.0,1017.7,ENSMUSP00000061470,63.0,ENSMUSP00000061470,66.5
12163,ENSMUSP00000061474,ENSMUST00000053819,89,70,160,137,617.2,606.0,605.5,664.2,547.4,508.6,ENSMUSP00000061474,36.5,ENSMUSP00000061474,15.5
12167,ENSMUSP00000061493,ENSMUST00000053484,214,186,427,339,5012.0,4855.5,4898.9,5824.9,5329.6,4865.0,ENSMUSP00000061493,89.0,ENSMUSP00000061493,202.5
12178,ENSMUSP00000061539,ENSMUST00000052368,71,56,91,77,121.0,124.8,136.9,129.7,117.9,114.8,ENSMUSP00000061539,105.0,ENSMUSP00000061539,207.5
12187,ENSMUSP00000061610,ENSMUST00000054344,44,39,75,56,221.4,218.6,211.0,213.8,204.8,192.8,ENSMUSP00000061610,36.5,ENSMUSP00000061610,96.5
12190,ENSMUSP00000061624,ENSMUST00000061179,245,206,367,289,1202.0,1167.0,1186.8,1329.6,1259.5,1148.6,ENSMUSP00000061624,60.0,ENSMUSP00000061624,49.0
12204,ENSMUSP00000061700,ENSMUST00000049699,5,6,10,7,139.9,143.5,145.6,119.5,93.4,83.7,ENSMUSP00000061700,31.5,ENSMUSP00000061700,65.5
12207,ENSMUSP00000061731,ENSMUST00000051386,9,10,15,13,29.3,32.0,34.1,26.1,30.4,27.5,ENSMUSP00000061731,46.0,ENSMUSP00000061731,0.0
12213,ENSMUSP00000061754,ENSMUST00000059193,36,24,148,140,15.6,15.8,14.0,25.4,27.5,21.8,ENSMUSP00000061754,37.5,ENSMUSP00000061754,49.5
12216,ENSMUSP00000061769,ENSMUST00000061611,28,18,54,54,37.5,30.0,37.8,42.4,47.7,41.2,ENSMUSP00000061769,146.5,ENSMUSP00000061769,141.5
12221,ENSMUSP00000061800,ENSMUST00000049937,46,44,74,57,687.8,663.0,692.5,627.5,599.0,549.6,ENSMUSP00000061800,22.0,ENSMUSP00000061800,0.0
12224,ENSMUSP00000061808,ENSMUST00000062915,1,0,3,8,28.3,32.9,32.6,26.8,27.3,23.7,ENSMUSP00000061808,9.0,ENSMUSP00000061808,62.5
12228,ENSMUSP00000061835,ENSMUST00000054442,16,23,36,24,31.9,38.2,32.9,37.5,37.4,32.3,ENSMUSP00000061835,5.0,ENSMUSP00000061835,27.5
12247,ENSMUSP00000061923,ENSMUST00000058011,844,678,1097,898,4792.6,4575.7,4627.3,4075.1,4083.4,3594.5,ENSMUSP00000061923,23.0,ENSMUSP00000061923,14.5
