protein_id,High_Pause_Counts,transcript_id_x
ENSP00000221856.5,16,ENST00000221856.11
ENSP00000221859.3,0,ENST00000221859.9
ENSP00000221957.3,6,ENST00000221957.9
ENSP00000222005.1,0,ENST00000222005.7
ENSP00000222008.5,27,ENST00000222008.11
ENSP00000222219.2,11,ENST00000222219.8
ENSP00000222247.4,15,ENST00000222247.10
ENSP00000222256.3,7,ENST00000222256.9
ENSP00000222284.4,10,ENST00000222284.10
ENSP00000222305.2,2,ENST00000222305.8
ENSP00000222329.3,42,ENST00000222329.9
ENSP00000222339.6,68,ENST00000222339.7
ENSP00000222388.2,11,ENST00000222388.6
ENSP00000222399.6,44,ENST00000222399.11
ENSP00000222511.7,17,ENST00000222511.11
ENSP00000222567.5,18,ENST00000222567.6
ENSP00000222644.4,9,ENST00000222644.10
ENSP00000222673.5,9,ENST00000222673.6
ENSP00000222690.6,0,ENST00000222690.10
ENSP00000222726.3,8,ENST00000222726.4
ENSP00000222800.4,15,ENST00000222800.8
ENSP00000222803.5,11,ENST00000222803.10
ENSP00000222968.4,12,ENST00000350498.8
ENSP00000222969.5,0,ENST00000222969.10
ENSP00000222990.3,20,ENST00000222990.8
ENSP00000223023.4,12,ENST00000223023.5
ENSP00000223029.3,0,ENST00000223029.8
ENSP00000223073.1,10,ENST00000223073.6
ENSP00000223122.2,23,ENST00000223122.4
ENSP00000223127.3,28,ENST00000223127.8
ENSP00000223136.4,5,ENST00000223136.5
ENSP00000223145.5,45,ENST00000223145.10
ENSP00000223273.2,14,ENST00000223273.7
ENSP00000223324.2,3,ENST00000223324.3
ENSP00000223336.6,4,ENST00000223336.11
ENSP00000223500.7,0,ENST00000223500.9
ENSP00000223641.4,0,ENST00000223641.5
ENSP00000223864.2,9,ENST00000223864.7
ENSP00000224073.1,0,ENST00000224073.6
ENSP00000224140.5,147,ENST00000224140.6
ENSP00000224237.5,1,ENST00000224237.9
ENSP00000225171.2,0,ENST00000225171.7
ENSP00000225174.3,9,ENST00000225174.8
ENSP00000225235.4,44,ENST00000225235.5
ENSP00000225296.3,3,ENST00000225296.8
ENSP00000225298.7,11,ENST00000225298.12
ENSP00000225388.3,12,ENST00000225388.9
ENSP00000225504.3,3,ENST00000225504.8
ENSP00000225525.3,8,ENST00000225525.4
ENSP00000225576.3,24,ENST00000225576.7
ENSP00000225577.4,46,ENST00000225577.9
ENSP00000225603.4,19,ENST00000225603.9
ENSP00000225609.5,13,ENST00000225609.10
ENSP00000225648.3,0,ENST00000225648.4
ENSP00000225655.5,13,ENST00000225655.6
ENSP00000225665.7,9,ENST00000225665.12
ENSP00000225698.4,13,ENST00000225698.8
ENSP00000225719.4,56,ENST00000225719.9
ENSP00000225726.5,13,ENST00000225726.10
ENSP00000225728.3,4,ENST00000225728.8
ENSP00000225729.3,0,ENST00000225729.8
ENSP00000225737.6,30,ENST00000225737.11
ENSP00000225916.5,67,ENST00000225916.10
ENSP00000225927.1,40,ENST00000225927.7
ENSP00000225969.4,3,ENST00000225969.9
ENSP00000225972.7,9,ENST00000225972.8
ENSP00000226004.2,2,ENST00000226004.8
ENSP00000226105.6,5,ENST00000226105.11
ENSP00000226218.4,8,ENST00000226218.9
ENSP00000226230.6,13,ENST00000226230.8
ENSP00000227155.4,35,ENST00000227155.9
ENSP00000227266.4,3,ENST00000227266.10
ENSP00000227322.3,13,ENST00000227322.8
ENSP00000227507.2,11,ENST00000227507.3
ENSP00000227520.5,16,ENST00000227520.10
ENSP00000227524.4,10,ENST00000227524.9
ENSP00000227525.3,11,ENST00000227525.8
ENSP00000227868.4,25,ENST00000227868.9
ENSP00000228136.4,3,ENST00000228136.9
ENSP00000228251.4,9,ENST00000228251.9
ENSP00000228284.4,5,ENST00000228284.8
ENSP00000228347.4,16,ENST00000228347.9
ENSP00000228468.4,32,ENST00000228468.8
ENSP00000228495.6,0,ENST00000228495.11
ENSP00000228506.3,4,ENST00000228506.8
ENSP00000228705.5,38,ENST00000228705.7
ENSP00000228740.2,4,ENST00000228740.7
ENSP00000228825.7,23,ENST00000228825.12
ENSP00000228843.9,10,ENST00000228843.13
ENSP00000229179.4,19,ENST00000229179.9
ENSP00000229214.4,0,ENST00000229214.9
ENSP00000229238.3,7,ENST00000229238.5
ENSP00000229239.5,34,ENST00000229239.10
ENSP00000229266.3,22,ENST00000229266.8
ENSP00000229268.8,17,ENST00000229268.13
ENSP00000229314.4,0,ENST00000229314.10
ENSP00000229328.5,22,ENST00000229328.10
ENSP00000229329.2,11,ENST00000229329.7
ENSP00000229340.5,0,ENST00000229340.10
ENSP00000229390.3,0,ENST00000229390.8
ENSP00000229395.3,24,ENST00000229395.8
ENSP00000229570.5,6,ENST00000229570.9
ENSP00000229595.5,0,ENST00000229595.6
ENSP00000229633.5,9,ENST00000229633.7
ENSP00000229758.3,9,ENST00000229758.8
ENSP00000229769.2,30,ENST00000229769.3
ENSP00000229794.4,3,ENST00000229794.9
ENSP00000229812.7,29,ENST00000229812.8
ENSP00000229922.2,71,ENST00000229922.7
ENSP00000230048.3,9,ENST00000230048.5
ENSP00000230050.3,15,ENST00000230050.4
ENSP00000230085.8,0,ENST00000230085.13
ENSP00000230340.4,17,ENST00000230340.9
